provider,num_vecs,oversample,brute time (ms),reduced time (ms),lsh time (ms),reduced vec. recall,lsh recall
openai,10000,1,40.1226,0,26.0273,0,0.255
openai,10000,2,40.1226,0,23.84,0,0.349
openai,10000,3,40.1226,0,22.4548,0,0.431
openai,10000,4,40.1226,0,23.0493,0,0.471
openai,10000,5,40.1226,0,21.8316,0,0.516
openai,10000,6,40.1226,0,22.8958,0,0.545
openai,10000,7,40.1226,0,20.6184,0,0.567
openai,10000,8,40.1226,0,20.7342,0,0.589
openai,10000,9,40.1226,0,22.9024,0,0.613
openai,10000,10,40.1226,0,21.4052,0,0.622
cohere,10000,1,27.6423,0,27.4802,0,0.135
cohere,10000,2,27.6423,0,20.3922,0,0.204
cohere,10000,3,27.6423,0,21.3853,0,0.242
cohere,10000,4,27.6423,0,19.891,0,0.268
cohere,10000,5,27.6423,0,19.885,0,0.297
cohere,10000,6,27.6423,0,20.8946,0,0.309
cohere,10000,7,27.6423,0,19.8848,0,0.333
cohere,10000,8,27.6423,0,21.4887,0,0.352
cohere,10000,9,27.6423,0,19.8855,0,0.378
cohere,10000,10,27.6423,0,21.8439,0,0.386
