provider,num_vecs,vectors sampled,brute time (ms),reduced time (ms),lsh time (ms),reduced vec. recall,lsh recall
cohere,500000,1000,87.2492,0,4.7865,0,0.7
cohere,500000,2000,87.2492,0,5.3986,0,0.7
cohere,500000,3000,87.2492,0,6.0283,0,0.7
cohere,500000,4000,87.2492,0,6.0284,0,0.9
cohere,500000,5000,87.2492,0,8.3713,0,0.9
cohere,500000,6000,87.2492,0,8.0064,0,0.9
cohere,500000,7000,87.2492,0,8.372,0,0.9
cohere,500000,8000,87.2492,0,10.8088,0,0.9
cohere,500000,9000,87.2492,0,14.0932,0,0.9
cohere,500000,10000,87.2492,0,12.2614,0,0.9
cohere,500000,11000,87.2492,0,27.017,0,0.9
cohere,500000,12000,87.2492,0,21.3733,0,0.9
cohere,500000,13000,87.2492,0,23.1663,0,0.9
cohere,500000,14000,87.2492,0,17.9496,0,0.9
cohere,500000,15000,87.2492,0,14.11,0,0.9
cohere,500000,16000,87.2492,0,16.1028,0,0.9
cohere,500000,17000,87.2492,0,14.0776,0,0.9
cohere,500000,18000,87.2492,0,17.9146,0,0.9
cohere,500000,19000,87.2492,0,19.2298,0,0.9
cohere,500000,20000,87.2492,0,17.5422,0,0.9
cohere,500000,21000,87.2492,0,20.2349,0,0.9
cohere,500000,22000,87.2492,0,20.2581,0,0.9
cohere,500000,23000,87.2492,0,19.5505,0,0.9
cohere,500000,24000,87.2492,0,20.8441,0,0.9
cohere,500000,25000,87.2492,0,21.8159,0,0.9
cohere,500000,26000,87.2492,0,21.5699,0,0.9
cohere,500000,27000,87.2492,0,25.3516,0,0.9
cohere,500000,28000,87.2492,0,21.8313,0,0.9
cohere,500000,29000,87.2492,0,21.5724,0,0.9
cohere,500000,30000,87.2492,0,23.8348,0,0.9
cohere,500000,31000,87.2492,0,23.2539,0,0.9
cohere,500000,32000,87.2492,0,27.8575,0,0.9
cohere,500000,33000,87.2492,0,27.5776,0,0.9
cohere,500000,34000,87.2492,0,23.8248,0,0.9
cohere,500000,35000,87.2492,0,25.0842,0,0.9
cohere,500000,36000,87.2492,0,29.5943,0,0.9
cohere,500000,37000,87.2492,0,26.5175,0,0.9
cohere,500000,38000,87.2492,0,26.0164,0,0.9
cohere,500000,39000,87.2492,0,28.6976,0,0.9
cohere,500000,40000,87.2492,0,27.9372,0,1.0
cohere,500000,41000,87.2492,0,27.8679,0,1.0
cohere,500000,42000,87.2492,0,28.0581,0,1.0
cohere,500000,43000,87.2492,0,29.7353,0,1.0
cohere,500000,44000,87.2492,0,32.6499,0,1.0
cohere,500000,45000,87.2492,0,30.9853,0,1.0
cohere,500000,46000,87.2492,0,34.1585,0,1.0
cohere,500000,47000,87.2492,0,32.1431,0,1.0
cohere,500000,48000,87.2492,0,34.0462,0,1.0
cohere,500000,49000,87.2492,0,31.9108,0,1.0
cohere,500000,50000,87.2492,0,32.0897,0,1.0
cohere,500000,51000,87.2492,0,31.8722,0,1.0
cohere,500000,52000,87.2492,0,32.7159,0,1.0
cohere,500000,53000,87.2492,0,34.9446,0,1.0
cohere,500000,54000,87.2492,0,34.4318,0,1.0
cohere,500000,55000,87.2492,0,34.7151,0,1.0
cohere,500000,56000,87.2492,0,35.3582,0,1.0
cohere,500000,57000,87.2492,0,35.6152,0,1.0
cohere,500000,58000,87.2492,0,36.6573,0,1.0
cohere,500000,59000,87.2492,0,37.6365,0,1.0
cohere,500000,60000,87.2492,0,35.6319,0,1.0
cohere,500000,61000,87.2492,0,37.374,0,1.0
cohere,500000,62000,87.2492,0,36.64,0,1.0
cohere,500000,63000,87.2492,0,39.6187,0,1.0
cohere,500000,64000,87.2492,0,39.273,0,1.0
cohere,500000,65000,87.2492,0,39.7595,0,1.0
cohere,500000,66000,87.2492,0,39.3527,0,1.0
cohere,500000,67000,87.2492,0,41.0195,0,1.0
cohere,500000,68000,87.2492,0,41.372,0,1.0
cohere,500000,69000,87.2492,0,39.6194,0,1.0
cohere,500000,70000,87.2492,0,41.3624,0,1.0
cohere,500000,71000,87.2492,0,41.3893,0,1.0
cohere,500000,72000,87.2492,0,41.3898,0,1.0
cohere,500000,73000,87.2492,0,45.7,0,1.0
cohere,500000,74000,87.2492,0,43.8568,0,1.0
cohere,500000,75000,87.2492,0,44.6762,0,1.0
cohere,500000,76000,87.2492,0,43.7187,0,1.0
cohere,500000,77000,87.2492,0,43.3982,0,1.0
cohere,500000,78000,87.2492,0,44.6648,0,1.0
