provider,num_vecs,vectors sampled,brute time (ms),reduced time (ms),lsh time (ms),reduced vec. recall,lsh recall
openai,10000,100,42.2679,0,4.1939,0,0.791
openai,10000,200,42.2679,0,5.9988,0,0.883
openai,10000,300,42.2679,0,7.0021,0,0.917
openai,10000,400,42.2679,0,9.5153,0,0.938
openai,10000,500,42.2679,0,10.994,0,0.948
openai,10000,600,42.2679,0,13.3692,0,0.953
openai,10000,700,42.2679,0,15.0026,0,0.961
openai,10000,800,42.2679,0,17.0164,0,0.97
openai,10000,900,42.2679,0,19.001,0,0.973
openai,10000,1000,42.2679,0,21.0017,0,0.977
